video_id,shi_side,opponent,competition
vid_0697c4032516,upper,小波波夫,2025丹麦公开赛
vid_0b2c25645687,lower,李佳豪,2026亚洲羽毛球锦标赛
vid_0d0e09c1ee5c,upper,小波波夫,2025世锦赛
vid_10e5a8d971db,lower,安东森,2026汤尤杯
vid_25ed84a4c0dd,lower,拉克什亚,2025世锦赛
vid_26158d2c8d9e,lower,阿尤什,2026亚洲羽毛球锦标赛
vid_3489003b8c63,lower,周天成,2026亚洲羽毛球锦标赛
vid_39787b82bd85,upper,昆拉武特,2025世锦赛
vid_583aecb64490,upper,安赛龙,2025丹麦公开赛
vid_59936c2eb5d2,lower,李卓耀,2026马来西亚公开赛
vid_5bd629a2bddb,lower,昆拉武特,2025总决赛
vid_616e20975c4d,upper,赖浩俊,2025世锦赛
vid_648f825fd72e,lower,李卓耀,2025丹麦公开赛
vid_7b2a1a8cd850,upper,梁峻豪,2026汤姆斯杯
vid_9267c3db8961,lower,奈良冈功大,2026亚洲羽毛球锦标赛
vid_9508f9e5c888,upper,李诗沣,2025总决赛
vid_ae912ba8b434,upper,安东森,2026马来西亚公开赛
vid_aff76f296088,upper,周天成,2025总决赛
vid_b6ff2af4ed46,upper,翁泓阳,2025世锦赛
vid_d151b1aaef18,upper,小波波夫,2026汤尤杯
vid_dc1d3e25cb08,upper,阿尤什,2026马来西亚公开赛
vid_f289e47c5102,upper,格姆克,2026马来西亚公开赛
vid_f86a11591e2c,upper,乔纳坦,2025丹麦公开赛
vid_f885b30ca89d,lower,伍家朗,2025丹麦公开赛
