family,metric,metric_label,paired_delta_mean,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,tendency_score,tendency_score_ci_low,tendency_score_ci_high,n_positive,n_equal,n_negative,n_valid_matches,cluster_ci_low,cluster_ci_high,main_eligible,sensitivity_status,radar_eligible
style,smash_share,杀球倾向,-0.00273000269643928,-0.0199751055561495,-0.0256463172015617,0.02024323535605,41.6666666666667,20.8333333333333,62.5,10,0,14,24,-0.0238292548362294,0.0181855215540827,1,UNSTABLE,0
style,drop_share,吊球倾向,0.00389816241361574,0.00861291111480168,-0.00527425414382687,0.0124659985976189,62.5,41.6666666666667,79.1666666666667,15,0,9,24,-0.00350022469559545,0.0112797519111683,1,STABLE,1
style,net_share,网前倾向,-0.00651184035309584,-0.010357324166003,-0.0398327488712071,0.0282642557857456,41.6666666666667,20.8333333333333,62.5,10,0,14,24,-0.0341815271711102,0.0248677156612371,1,UNSTABLE,0
style,drive_share,抽挡倾向,0.00806373561759039,0.0286692642625556,-0.0178304256740341,0.0335171840736236,58.3333333333333,37.5,79.1666666666667,14,0,10,24,-0.0223540197152286,0.0356037923074446,1,STABLE,1
style,backcourt_tendency,后场击球倾向,-0.0144431859173753,0.164149898039667,-0.158713731586427,0.12460484083594,58.3333333333333,37.5,79.1666666666667,14,0,10,24,-0.155054032024954,0.118995838461832,1,UNSTABLE,0
style,event_rate_proxy,事件频率代理,0.0394127661943512,0.124111155720319,-0.0765078747804952,0.150238031380799,58.3333333333333,37.5,79.1666666666667,14,0,10,24,-0.0869747530422409,0.15220590394989,1,UNSTABLE,0
style,spatial_diversity,空间使用多样性,0.0188922410947874,0.0182432387196059,-0.00182672221724315,0.0424677793342856,62.5,41.6666666666667,79.1666666666667,15,0,9,24,-0.00571044682323566,0.0432990572130409,1,STABLE,1
style,sequence_predictability,序列可预测性熵代理,-0.00136561046087933,-0.00382430908697451,-0.0250371159428772,0.0233026239923155,50,29.1666666666667,70.8333333333333,12,0,12,24,-0.0189306602605963,0.0178541571305161,1,UNSTABLE,0
process_proxy,early_active_share,前三拍主动类别比例,0.0757349263034219,0.0561295480079509,0.0178833275151509,0.13808571406236,66.6666666666667,45.8333333333333,83.3333333333333,16,0,8,24,0.0142535339034836,0.141729196890397,1,STABLE,1
process_proxy,attack_entry_proxy,进攻进入代理,0.00758299393306374,-0.0170386904761905,-0.0373731440768902,0.0523307462602737,45.8333333333333,25,66.6666666666667,11,0,13,24,-0.0339823767060734,0.0456277864432947,1,UNSTABLE,0
process_proxy,terminal_attack_event_share,终局后场进攻事件比例,-0.00702773705471893,0,-0.0266969102974809,0.0119715755436838,45.8333333333333,27.0833333333333,64.5833333333333,9,4,11,24,-0.0229642136162784,0.00790275104283436,1,STABLE,1
process_proxy,net_continuation_proxy,网前连续使用代理,-0.0150930704705359,0.0164324706674595,-0.0675548016897476,0.0363671631518235,56.25,37.5,75,13,1,10,24,-0.0645762997224689,0.0335461373683007,1,UNSTABLE,0
process_proxy,defense_to_attack_proxy,防守转攻代理,-0.0066284963446247,-0.0474066669718843,-0.0700243507691193,0.0633098852927216,41.6666666666667,20.8333333333333,62.5,10,0,14,24,-0.0613305707707666,0.0540815203899166,1,UNSTABLE,0
